Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
BD-11 4672 b,0.53,,1667.0,2.28,,radial vel.,89.0,0.57,4475.0,2014
Beta Cancri b,7.8,,605.2,1.7,,radial vel.,290.4,1.7,4092.1,2014
Beta Ursae Minoris b,6.1,,522.3,1.4,,radial vel.,126.5,1.4,4126.0,2014
COROT-22b,0.038,0.435,9.75598,0.092,885.0,transit,1930.0,1.1,5939.0,2014
COROT-24b,0.018,0.33,5.1134,0.056,1070.0,transit,2000.0,0.91,4950.0,2014
COROT-24c,0.088,0.44,11.759,0.098,850.0,transit,2000.0,0.91,4950.0,2014
COROT-27b,10.39,1.007,3.57532,0.0476,1500.0,transit,3400.0,1.05,5900.0,2014
Gliese 15 Ab,0.017,,11.4433,0.0717,,radial vel.,11.6,0.38,3567.0,2014
Gliese 27.1 b,0.0409,,15.819,0.101,,radial vel.,77.05,0.53,3542.0,2014
Gliese 180 b,0.0261,,17.38,0.103,,radial vel.,38.95,0.43,3371.0,2014
Gliese 433 c,0.14,,4900.0,4.7,,radial vel.,29.57,0.48,3472.0,2014
Gliese 422 b,0.0311,,26.161,0.119,,radial vel.,41.32,0.35,3323.0,2014
Gliese 687 b,0.058,,38.14,0.16353,,radial vel.,14.8,0.41,3413.0,2014
Gliese 3293 b,0.07406,,30.5987,0.14339,,radial vel.,51.4,0.42,3466.0,2014
Gliese 3293 c,0.06636,,122.6196,0.36175,,radial vel.,51.4,0.42,3466.0,2014
Gliese 3341 b,0.0208,,14.207,0.089,,radial vel.,77.1,0.47,3526.0,2014
GU Piscium b,11.3,1.265,,2000.0,,imaging,160.0,0.33,3250.0,2014
HAT-P-49b,1.73,1.413,2.691548,0.0438,2131.0,transit,1050.0,1.54,6820.0,2014
HAT-P-54b,0.76,0.944,3.799847,0.04117,,transit,443.0,0.65,4390.0,2014
HATS-4b,1.323,1.02,2.516729,0.0362,1315.0,transit,1400.0,1.0,5403.0,2014
HATS-5b,0.237,0.912,4.763387,0.0542,1025.0,transit,840.0,0.94,5304.0,2014
HATS-6b,0.319,0.998,3.3252725,0.03623,,transit,484.0,0.57,3724.0,2014
HD 564 b,0.33,,492.3,1.2,,radial vel.,175.0,0.96,5902.0,2014
HD 4203 c,2.17,,6700.0,6.95,,radial vel.,253.8,1.13,5702.0,2014
HD 5319 c,1.15,,886.0,2.071,,radial vel.,370.0,1.51,4958.0,2014
HD 10442 b,2.1,,1043.0,2.335,,radial vel.,443.0,1.56,5034.0,2014
HD 11506 c,0.408,,223.41,0.774,,radial vel.,167.4,1.12,5833.0,2014
HD 14067 b,7.8,,1455.0,3.4,,radial vel.,533.0,2.4,4815.0,2014
HD 30669 b,0.47,,1684.0,2.69,,radial vel.,186.0,0.92,5400.0,2014
HD 75784 b,1.15,,341.7,1.073,,radial vel.,224.0,1.41,4917.0,2014
HD 100546 b,,3.4,,53.0,,imaging,320.0,2.4,10500.0,2014
HD 103720 b,0.62,,4.5557,0.0498,,radial vel.,136.0,0.79,5017.0,2014
HD 108341 b,3.5,,1129.0,2.0,,radial vel.,161.0,0.84,5122.0,2014
HD 114613 b,0.48,,3827.0,5.16,,radial vel.,66.8,1.36,5729.0,2014
HD 141399 b,0.451,,94.44,0.415,,radial vel.,118.0,1.07,5600.0,2014
HD 141399 c,1.33,,201.99,0.689,,radial vel.,118.0,1.07,5600.0,2014
HD 141399 d,1.18,,1069.8,2.09,,radial vel.,118.0,1.07,5600.0,2014
HD 141399 e,0.66,,5000.0,5.0,,radial vel.,118.0,1.07,5600.0,2014
HD 154857 c,2.58,,3452.0,5.36,,radial vel.,223.5,1.72,5605.0,2014
HIP 67851 b,1.38,,88.9,0.46,,radial vel.,208.3,1.63,4890.0,2014
HIP 67851 c,4.34,,1741.0,3.09,,radial vel.,208.3,1.63,4890.0,2014
HIP 97233 b,20.0,,1058.8,2.55,,radial vel.,347.0,1.93,5020.0,2014
HIP 105854 b,8.2,,184.2,0.81,,radial vel.,276.0,2.1,4780.0,2014
HIP 116454 b,0.037,0.226,9.1205,0.0906,,radial vel.,180.0,0.78,5089.0,2014
Kapteyn b,0.015,,48.616,0.168,,radial vel.,12.8,0.28,3550.0,2014
Kapteyn c,0.022,,121.54,0.311,,radial vel.,12.8,0.28,3550.0,2014
Kepler-23d,,0.196,15.274299,0.124,,transit,2600.0,1.11,5828.0,2014
Kepler-24d,,0.149,4.244384,0.051,,transit,3900.0,1.03,5897.0,2014
Kepler-24e,,0.248,18.998355,0.138,,transit,3900.0,1.03,5897.0,2014
Kepler-25d,0.283,,123.0,,,radial vel.,798.0,1.19,6270.0,2014
Kepler-26d,,0.095,3.543919,0.039,,transit,1104.0,0.54,3914.0,2014
Kepler-26e,,0.215,46.827915,0.22,,transit,1104.0,0.54,3914.0,2014
Kepler-31d,6.8,0.348,87.6451,0.4,,transit,6800.0,1.21,6340.0,2014
Kepler-37e,,,51.196,,,timing,220.0,0.8,5417.0,2014
Kepler-48d,0.025,0.182,42.8961,,,transit,1009.0,0.88,5194.0,2014
Kepler-48e,2.067,,982.0,,,radial vel.,1009.0,0.88,5194.0,2014
Kepler-49d,,0.143,2.576549,0.031,,transit,1024.0,0.55,4252.0,2014
Kepler-49e,,0.139,18.596108,0.116,,transit,1024.0,0.55,4252.0,2014
Kepler-51d,0.024,0.865,130.194,0.509,,transit,2610.0,1.04,6018.0,2014
Kepler-52d,,0.174,36.445171,0.182,,transit,1058.0,0.54,4263.0,2014
Kepler-53d,,0.189,9.751962,0.091,,transit,4600.0,0.98,5858.0,2014
Kepler-54d,,0.136,20.995694,0.126,,transit,893.0,0.51,4252.0,2014
Kepler-55d,,0.142,2.211099,0.029,,transit,1920.0,0.62,4503.0,2014
Kepler-55e,,0.138,4.617534,0.048,,transit,1920.0,0.62,4503.0,2014
Kepler-55f,,0.142,10.198545,0.081,,transit,1920.0,0.62,4503.0,2014
Kepler-58d,,0.262,40.101371,0.236,,transit,3250.0,0.95,6099.0,2014
Kepler-79d,0.019,0.639,52.0902,0.287,553.0,transit,3230.0,1.17,6174.0,2014
Kepler-79e,0.013,0.311,81.0659,0.386,477.0,transit,3230.0,1.17,6174.0,2014
Kepler-80d,0.02124,0.136,3.07222,0.0372,,transit,1160.0,0.73,4540.0,2014
Kepler-80e,0.01299,0.143,4.64489,0.0491,,transit,1160.0,0.73,4540.0,2014
Kepler-81d,,0.108,20.837846,0.128,,transit,1147.0,0.64,4500.0,2014
Kepler-82d,,0.158,2.382961,0.034,,transit,3030.0,0.85,5428.0,2014
Kepler-82e,,0.22,5.902206,0.063,,transit,3030.0,0.85,5428.0,2014
Kepler-83d,,0.173,5.169796,0.051,,transit,1320.0,0.66,4648.0,2014
Kepler-84d,,0.123,4.224537,0.052,,transit,4700.0,1.0,6031.0,2014
Kepler-84e,,0.232,27.434389,0.181,,transit,4700.0,1.0,6031.0,2014
Kepler-84f,,0.196,44.552169,0.25,,transit,4700.0,1.0,6031.0,2014
Kepler-85d,,0.107,17.91323,0.13,,transit,2550.0,0.92,5436.0,2014
Kepler-85e,,0.113,25.216751,0.163,,transit,2550.0,0.92,5436.0,2014
Kepler-93b,0.01265,0.132,4.72673978,0.053,1037.0,transit,313.7,0.91,5669.0,2014
Kepler-93c,3.0,,1460.0,,,radial vel.,313.7,0.91,5669.0,2014
Kepler-94b,0.034,0.313,2.50806,,,transit,629.0,0.81,4781.0,2014
Kepler-94c,9.836,,820.3,,,radial vel.,629.0,0.81,4781.0,2014
Kepler-95b,0.041,0.305,11.5231,,,transit,1472.0,1.08,5699.0,2014
Kepler-96b,0.027,0.238,16.2385,,,transit,402.2,1.0,5690.0,2014
Kepler-97b,0.011,0.132,2.58664,,,transit,1322.0,0.94,5779.0,2014
Kepler-97c,1.08,,789.0,,,radial vel.,1322.0,0.94,5779.0,2014
Kepler-98b,0.011,0.178,1.54168,,,transit,1154.0,0.99,5539.0,2014
Kepler-99b,0.019,0.132,4.60358,,,transit,683.0,0.79,4782.0,2014
Kepler-100b,0.023,0.118,6.88705,,,transit,1002.0,1.08,5825.0,2014
Kepler-100c,,0.196,12.8159,,,transit,1002.0,1.08,5825.0,2014
Kepler-100d,,0.144,35.3331,,,transit,1002.0,1.08,5825.0,2014
Kepler-101b,0.16,0.51,3.4876812,0.0474,,transit,3110.0,1.17,5667.0,2014
Kepler-101c,0.01,0.112,6.02976,0.0684,,transit,3110.0,1.17,5667.0,2014
Kepler-102b,,0.042,5.28696,,792.0,transit,352.7,0.81,4909.0,2014
Kepler-102c,,0.052,7.07142,,718.0,transit,352.7,0.81,4909.0,2014
Kepler-102d,0.012,0.105,10.3117,,,transit,352.7,0.81,4909.0,2014
Kepler-102f,,0.079,27.4536,,457.0,transit,352.7,0.81,4909.0,2014
Kepler-103b,0.031,0.301,15.9654,,,transit,1637.0,1.09,5845.0,2014
Kepler-103c,0.114,0.459,179.612,,,transit,1637.0,1.09,5845.0,2014
Kepler-104b,,0.277,11.427548,0.094,,transit,1322.0,0.81,5711.0,2014
Kepler-104c,,0.279,23.668205,0.153,,transit,1322.0,0.81,5711.0,2014
Kepler-104d,,0.319,51.755394,0.257,,transit,1322.0,0.81,5711.0,2014
Kepler-105c,0.01447,0.117,7.1262,,,transit,1517.0,0.96,5827.0,2014
Kepler-106b,,0.073,6.16486,,,transit,1470.0,1.0,5858.0,2014
Kepler-106c,0.033,0.223,13.5708,,,transit,1470.0,1.0,5858.0,2014
Kepler-106d,,0.085,23.9802,,,transit,1470.0,1.0,5858.0,2014
Kepler-106e,0.035,0.228,43.8445,,,transit,1470.0,1.0,5858.0,2014
Kepler-107b,,0.139,3.179997,0.044,,transit,1741.0,,5851.0,2014
Kepler-107c,,0.161,4.901425,0.059,,transit,1741.0,,5851.0,2014
Kepler-107d,,0.095,7.958203,0.082,,transit,1741.0,,5851.0,2014
Kepler-107e,,0.308,14.749049,0.123,,transit,1741.0,,5851.0,2014
Kepler-108b,,0.772,49.183921,0.292,,transit,4200.0,0.87,5854.0,2014
Kepler-108c,,0.73,190.323494,0.721,,transit,4200.0,0.87,5854.0,2014
Kepler-109b,,0.211,6.48163,,,transit,1570.0,1.04,5952.0,2014
Kepler-109c,,0.225,21.2227,,,transit,1570.0,1.04,5952.0,2014
Kepler-110b,,0.163,12.691112,0.107,,transit,1950.0,,5960.0,2014
Kepler-110c,,0.197,31.719775,0.198,,transit,1950.0,,5960.0,2014
Kepler-111b,,0.141,3.341815,0.046,,transit,2190.0,,5952.0,2014
Kepler-111c,,0.651,224.784608,0.761,,transit,2190.0,,5952.0,2014
Kepler-112b,,0.211,8.408878,0.076,,transit,1698.0,,5544.0,2014
Kepler-112c,,0.214,28.574263,0.172,,transit,1698.0,,5544.0,2014
Kepler-113b,0.037,0.162,4.754,,,transit,862.0,0.75,4725.0,2014
Kepler-113c,,0.194,8.92507,,,transit,862.0,0.75,4725.0,2014
Kepler-114b,,0.112,5.188549,0.053,722.0,transit,852.0,0.56,4605.0,2014
Kepler-115b,,0.097,2.403679,0.036,,transit,2070.0,1.0,5979.0,2014
Kepler-115c,,0.232,8.990889,0.087,,transit,2070.0,1.0,5979.0,2014
Kepler-116b,,0.305,5.968734,0.069,,transit,3200.0,1.16,6142.0,2014
Kepler-116c,,0.205,13.07163,0.116,,transit,3200.0,1.16,6142.0,2014
Kepler-117b,0.094,0.719,18.7959228,0.1445,,transit,4700.0,1.13,6150.0,2014
Kepler-117c,1.84,1.101,50.790391,0.2804,,transit,4700.0,1.13,6150.0,2014
Kepler-118b,,0.175,7.518496,0.073,,transit,1900.0,0.86,5274.0,2014
Kepler-118c,,0.685,20.17202,0.141,,transit,1900.0,0.86,5274.0,2014
Kepler-119b,,0.321,2.422082,0.035,,transit,2340.0,,5595.0,2014
Kepler-119c,,0.082,4.125103,0.049,,transit,2340.0,,5595.0,2014
Kepler-120b,,0.192,6.312501,0.055,,transit,1281.0,,4096.0,2014
Kepler-120c,,0.136,12.794585,0.088,,transit,1281.0,,4096.0,2014
Kepler-121b,,0.209,3.177422,0.039,,transit,1690.0,,5311.0,2014
Kepler-121c,,0.203,41.008011,0.216,,transit,1690.0,,5311.0,2014
Kepler-122b,,0.209,5.766193,0.064,,transit,3450.0,0.99,6050.0,2014
Kepler-122c,,0.524,12.465988,0.108,,transit,3450.0,0.99,6050.0,2014
Kepler-122d,,0.196,21.587475,0.155,,transit,3450.0,0.99,6050.0,2014
Kepler-122e,,0.232,37.993273,0.227,,transit,3450.0,0.99,6050.0,2014
Kepler-122f,0.113,0.156,56.268,,,timing,3450.0,0.99,6050.0,2014
Kepler-123b,,0.262,17.232366,0.135,,transit,3430.0,1.03,6089.0,2014
Kepler-123c,,0.132,26.695074,0.181,,transit,3430.0,1.03,6089.0,2014
Kepler-124b,,0.065,3.410493,0.039,,transit,1386.0,,4984.0,2014
Kepler-124c,,0.156,13.821375,0.1,,transit,1386.0,,4984.0,2014
Kepler-124d,,0.099,30.950851,0.17,,transit,1386.0,,4984.0,2014
Kepler-125b,,0.211,4.164389,0.041,,transit,601.0,0.55,3810.0,2014
Kepler-125c,,0.066,5.774464,0.051,,transit,601.0,0.55,3810.0,2014
Kepler-126b,,0.136,10.495711,0.099,,transit,779.0,,6239.0,2014
Kepler-126c,,0.141,21.869741,0.162,,transit,779.0,,6239.0,2014
Kepler-126d,,0.223,100.283134,0.448,,transit,779.0,,6239.0,2014
Kepler-127b,,0.125,14.435889,0.125,,transit,1162.0,,6106.0,2014
Kepler-127c,,0.237,29.393195,0.2,,transit,1162.0,,6106.0,2014
Kepler-127d,,0.236,48.630408,0.28,,transit,1162.0,,6106.0,2014
Kepler-129b,,0.211,15.79186,0.131,,transit,1349.0,1.18,5770.0,2014
Kepler-129c,,0.227,82.20017,0.393,,transit,1349.0,1.18,5770.0,2014
Kepler-130c,,0.259,27.50868,0.178,,transit,1042.0,1.0,5884.0,2014
Kepler-130d,,0.146,87.517905,0.377,,transit,1042.0,1.0,5884.0,2014
Kepler-131b,0.051,0.215,16.092,,,transit,750.0,1.02,5685.0,2014
Kepler-131c,0.026,0.075,25.5169,,,transit,750.0,1.02,5685.0,2014
Kepler-132b,,0.108,6.178196,0.067,,transit,900.0,,6003.0,2014
Kepler-132c,,0.114,6.414914,0.068,,transit,900.0,,6003.0,2014
Kepler-132d,,0.138,18.010199,0.136,,transit,900.0,,6003.0,2014
Kepler-133b,,0.157,8.129976,0.083,,transit,2170.0,,5736.0,2014
Kepler-133c,,0.253,31.517586,0.204,,transit,2170.0,,5736.0,2014
Kepler-134b,,0.178,5.317429,0.06,,transit,1102.0,,5983.0,2014
Kepler-134c,,0.112,10.105785,0.092,,transit,1102.0,,5983.0,2014
Kepler-135b,,0.161,6.00253,0.067,,transit,2060.0,,6090.0,2014
Kepler-135c,,0.103,11.448708,0.103,,transit,2060.0,,6090.0,2014
Kepler-136b,,0.183,11.5789,0.106,,transit,1389.0,1.2,6165.0,2014
Kepler-136c,,0.178,16.399235,0.133,,transit,1389.0,1.2,6165.0,2014
Kepler-137b,,0.131,8.436387,0.077,,transit,996.0,,5187.0,2014
Kepler-137c,,0.168,18.735753,0.13,,transit,996.0,,5187.0,2014
Kepler-138b,0.00021,0.047,10.3126,,,transit,218.5,0.52,3841.0,2014
Kepler-138c,0.0062,0.107,13.7813,,,transit,218.5,0.52,3841.0,2014
Kepler-138d,0.00201,0.108,23.0881,,431.0,transit,218.5,0.52,3841.0,2014
Kepler-139b,,0.262,15.771044,0.127,,transit,1289.0,1.08,5594.0,2014
Kepler-139c,,0.302,157.072878,0.586,,transit,1289.0,1.08,5594.0,2014
Kepler-140b,,0.144,3.25427,0.045,,transit,1940.0,,6077.0,2014
Kepler-140c,,0.161,91.353282,0.414,,transit,1940.0,,6077.0,2014
Kepler-141b,,0.062,3.107675,0.039,,transit,990.0,1.0,4910.0,2014
Kepler-141c,,0.126,7.010606,0.067,,transit,990.0,1.0,4910.0,2014
Kepler-142b,,0.178,2.024152,0.032,,transit,1818.0,0.99,5790.0,2014
Kepler-142c,,0.255,4.761702,0.057,,transit,1818.0,0.99,5790.0,2014
Kepler-142d,,0.193,41.809118,0.242,,transit,1818.0,0.99,5790.0,2014
Kepler-143b,,0.215,16.007583,0.127,,transit,2700.0,,5848.0,2014
Kepler-143c,,0.301,27.082511,0.181,,transit,2700.0,,5848.0,2014
Kepler-144b,,0.119,5.885273,0.066,,transit,1269.0,1.03,6075.0,2014
Kepler-144c,,0.12,10.104665,0.094,,transit,1269.0,1.03,6075.0,2014
Kepler-146b,,0.331,31.158799,0.2,,transit,2390.0,,5948.0,2014
Kepler-146c,,0.279,76.732171,0.364,,transit,2390.0,,5948.0,2014
Kepler-147b,,0.136,12.610584,0.113,,transit,3500.0,1.01,6012.0,2014
Kepler-147c,,0.217,33.416423,0.216,,transit,3500.0,1.01,6012.0,2014
Kepler-148b,,0.161,1.729366,0.028,,transit,2640.0,,5272.0,2014
Kepler-148c,,0.321,4.180043,0.05,,transit,2640.0,,5272.0,2014
Kepler-149b,,0.376,29.198943,0.184,,transit,1893.0,,5381.0,2014
Kepler-149c,,0.144,55.328328,0.281,,transit,1893.0,,5381.0,2014
Kepler-149d,,0.353,160.018032,0.571,,transit,1893.0,,5381.0,2014
Kepler-150b,,0.112,3.428054,0.044,,transit,2980.0,,5560.0,2014
Kepler-150c,,0.329,7.381998,0.073,,transit,2980.0,,5560.0,2014
Kepler-150d,,0.249,12.56093,0.104,,transit,2980.0,,5560.0,2014
Kepler-150e,,0.278,30.826557,0.189,,transit,2980.0,,5560.0,2014
Kepler-151b,,0.273,15.228958,0.116,,transit,2160.0,0.83,5460.0,2014
Kepler-151c,,0.186,24.674612,0.16,,transit,2160.0,0.83,5460.0,2014
Kepler-152b,,0.249,18.207973,0.124,,transit,1457.0,,5088.0,2014
Kepler-152c,,0.213,88.255055,0.356,,transit,1457.0,,5088.0,2014
Kepler-153b,,0.261,18.870227,0.129,,transit,1518.0,,5404.0,2014
Kepler-153c,,0.226,46.90232,0.237,,transit,1518.0,,5404.0,2014
Kepler-154b,,0.202,33.040532,0.198,,transit,3070.0,0.89,5690.0,2014
Kepler-154c,,0.263,62.303276,0.303,,transit,3070.0,0.89,5690.0,2014
Kepler-155b,,0.186,5.931194,0.056,,transit,965.0,0.58,4508.0,2014
Kepler-155c,,0.2,52.661793,0.242,,transit,965.0,0.58,4508.0,2014
Kepler-156b,,0.205,4.973456,0.054,,transit,1465.0,,5094.0,2014
Kepler-156c,,0.227,15.906801,0.117,,transit,1465.0,,5094.0,2014
Kepler-157b,,0.118,1.732342,0.028,,transit,2580.0,,5774.0,2014
Kepler-157c,,0.2,13.5405,0.11,,transit,2580.0,,5774.0,2014
Kepler-158b,,0.189,16.709184,0.111,,transit,1037.0,,4623.0,2014
Kepler-158c,,0.17,28.551383,0.158,,transit,1037.0,,4623.0,2014
Kepler-159b,,0.212,10.139623,0.082,,transit,1232.0,,4625.0,2014
Kepler-159c,,0.304,43.595792,0.218,,transit,1232.0,,4625.0,2014
Kepler-160b,,0.137,4.309427,0.05,,transit,3140.0,0.88,5471.0,2014
Kepler-160c,,0.322,13.699087,0.109,,transit,3140.0,0.88,5471.0,2014
Kepler-161b,,0.189,4.921355,0.054,,transit,1435.0,0.77,5078.0,2014
Kepler-161c,,0.183,7.06424,0.068,,transit,1435.0,0.77,5078.0,2014
Kepler-162b,,0.112,6.919798,0.069,,transit,2860.0,,5816.0,2014
Kepler-162c,,0.27,19.446355,0.137,,transit,2860.0,,5816.0,2014
Kepler-163b,,0.094,7.810937,0.078,,transit,2300.0,0.96,5776.0,2014
Kepler-163c,,0.202,21.347262,0.152,,transit,2300.0,0.96,5776.0,2014
Kepler-164b,,0.126,5.03503,0.058,,transit,2980.0,1.11,5888.0,2014
Kepler-164c,,0.244,10.945723,0.097,,transit,2980.0,1.11,5888.0,2014
Kepler-164d,,0.219,28.986769,0.187,,transit,2980.0,1.11,5888.0,2014
Kepler-165b,,0.207,8.180848,0.072,,transit,1860.0,,5211.0,2014
Kepler-165c,,0.199,15.31299,0.11,,transit,1860.0,,5211.0,2014
Kepler-166b,,0.203,7.650254,0.072,,transit,2000.0,,5413.0,2014
Kepler-166c,,0.212,34.260281,0.195,,transit,2000.0,,5413.0,2014
Kepler-167b,,0.144,4.3931632,0.0483,,transit,1100.0,0.77,4890.0,2014
Kepler-167c,,0.138,7.406114,0.0684,,transit,1100.0,0.77,4890.0,2014
Kepler-168b,,0.13,4.425391,0.056,,transit,4550.0,,6282.0,2014
Kepler-168c,,0.24,13.193242,0.116,,transit,4550.0,,6282.0,2014
Kepler-169b,,0.101,3.250619,0.04,,transit,1341.0,0.86,4997.0,2014
Kepler-169c,,0.108,6.195469,0.062,,transit,1341.0,0.86,4997.0,2014
Kepler-169d,,0.112,8.348125,0.075,,transit,1341.0,0.86,4997.0,2014
Kepler-169e,,0.196,13.767102,0.105,,transit,1341.0,0.86,4997.0,2014
Kepler-169f,,0.23,87.090195,0.359,,transit,1341.0,0.86,4997.0,2014
Kepler-170b,,0.285,7.930592,0.08,,transit,2460.0,,5679.0,2014
Kepler-170c,,0.255,16.665863,0.131,,transit,2460.0,,5679.0,2014
Kepler-171b,,0.209,4.166972,0.05,,transit,2890.0,,5642.0,2014
Kepler-171c,,0.228,11.463462,0.098,,transit,2890.0,,5642.0,2014
Kepler-171d,,0.169,39.595519,0.223,,transit,2890.0,,5642.0,2014
Kepler-172b,,0.21,2.940309,0.04,,transit,2770.0,0.86,5526.0,2014
Kepler-172c,,0.255,6.388996,0.068,,transit,2770.0,0.86,5526.0,2014
Kepler-172d,,0.201,14.627119,0.118,,transit,2770.0,0.86,5526.0,2014
Kepler-172e,,0.246,35.118736,0.211,,transit,2770.0,0.86,5526.0,2014
Kepler-173b,,0.115,4.263742,0.048,,transit,2780.0,0.78,6031.0,2014
Kepler-173c,,0.217,8.005777,0.074,,transit,2780.0,0.78,6031.0,2014
Kepler-174b,,0.175,13.98179,0.1,,transit,1268.0,,4880.0,2014
Kepler-174c,,0.133,44.000529,0.214,,transit,1268.0,,4880.0,2014
Kepler-174d,,0.195,247.35373,0.677,,transit,1268.0,,4880.0,2014
Kepler-175b,,0.228,11.903515,0.105,,transit,4450.0,1.04,6064.0,2014
Kepler-175c,,0.277,34.035257,0.213,,transit,4450.0,1.04,6064.0,2014
Kepler-176b,,0.128,5.433074,0.058,,transit,1750.0,,5232.0,2014
Kepler-176c,,0.232,12.759712,0.102,,transit,1750.0,,5232.0,2014
Kepler-176d,,0.224,25.751974,0.163,,transit,1750.0,,5232.0,2014
Kepler-178b,,0.259,9.576694,0.085,,transit,2380.0,,5676.0,2014
Kepler-178c,,0.257,20.552802,0.142,,transit,2380.0,,5676.0,2014
Kepler-178d,,0.352,96.678988,0.397,,transit,2380.0,,5676.0,2014
Kepler-179b,,0.146,2.735926,0.036,,transit,2010.0,,5302.0,2014
Kepler-179c,,0.178,6.40013,0.064,,transit,2010.0,,5302.0,2014
Kepler-180b,,0.134,13.817124,0.109,,transit,2320.0,0.84,5731.0,2014
Kepler-180c,,0.269,41.885775,0.229,,transit,2320.0,0.84,5731.0,2014
Kepler-181b,,0.113,3.137873,0.04,,transit,2020.0,,5333.0,2014
Kepler-181c,,0.178,4.302149,0.049,,transit,2020.0,,5333.0,2014
Kepler-182b,,0.23,9.825792,0.096,,transit,5290.0,1.14,6250.0,2014
Kepler-182c,,0.306,20.684342,0.157,,transit,5290.0,1.14,6250.0,2014
Kepler-183b,,0.184,5.687945,0.064,,transit,3530.0,,5888.0,2014
Kepler-183c,,0.203,11.637071,0.103,,transit,3530.0,,5888.0,2014
Kepler-184b,,0.211,10.687576,0.092,,transit,2030.0,,5788.0,2014
Kepler-184c,,0.176,20.303005,0.141,,transit,2030.0,,5788.0,2014
Kepler-184d,,0.222,29.022358,0.179,,transit,2030.0,,5788.0,2014
Kepler-185b,,0.104,1.6329,0.026,,transit,1542.0,0.79,5208.0,2014
Kepler-185c,,0.18,20.729042,0.139,,transit,1542.0,0.79,5208.0,2014
Kepler-186b,,0.095,3.8867907,0.0343,,transit,560.0,0.54,3755.0,2014
Kepler-186c,,0.112,7.267302,0.0451,,transit,560.0,0.54,3755.0,2014
Kepler-186d,,0.125,13.342996,0.0781,,transit,560.0,0.54,3755.0,2014
Kepler-186e,,0.113,22.407704,0.11,,transit,560.0,0.54,3755.0,2014
Kepler-186f,,0.104,129.9441,0.432,,transit,560.0,0.54,3755.0,2014
Kepler-187b,,0.126,4.938864,0.059,,transit,3850.0,0.85,6105.0,2014
Kepler-187c,,0.238,10.640263,0.099,,transit,3850.0,0.85,6105.0,2014
Kepler-188b,,0.15,2.061897,0.032,,transit,3250.0,,6021.0,2014
Kepler-188c,,0.285,5.996553,0.066,,transit,3250.0,,6021.0,2014
Kepler-189b,,0.108,10.399931,0.088,,transit,1960.0,0.79,5235.0,2014
Kepler-189c,,0.212,20.134866,0.137,,transit,1960.0,0.79,5235.0,2014
Kepler-190b,,0.139,2.019999,0.03,,transit,1431.0,0.84,5106.0,2014
Kepler-190c,,0.13,3.763024,0.045,,transit,1431.0,0.84,5106.0,2014
Kepler-191b,,0.12,9.939632,0.087,,transit,1970.0,0.85,5282.0,2014
Kepler-191c,,0.166,17.738506,0.128,,transit,1970.0,0.85,5282.0,2014
Kepler-192b,,0.244,9.926746,0.09,,transit,2170.0,,5479.0,2014
Kepler-192c,,0.249,21.2234,0.15,,transit,2170.0,,5479.0,2014
Kepler-193b,,0.213,11.38848,0.106,,transit,3390.0,,6335.0,2014
Kepler-193c,,0.245,50.697494,0.286,,transit,3390.0,,6335.0,2014
Kepler-194b,,0.135,2.092281,0.032,,transit,3700.0,,6089.0,2014
Kepler-194c,,0.231,17.308032,0.131,,transit,3700.0,,6089.0,2014
Kepler-194d,,0.214,52.814973,0.275,,transit,3700.0,,6089.0,2014
Kepler-195b,,0.181,8.307872,0.077,,transit,2170.0,,5329.0,2014
Kepler-195c,,0.138,34.096863,0.197,,transit,2170.0,,5329.0,2014
Kepler-196b,,0.17,20.739886,0.138,,transit,1491.0,,5128.0,2014
Kepler-196c,,0.2,47.427737,0.24,,transit,1491.0,,5128.0,2014
Kepler-197b,,0.091,5.599308,0.06,,transit,1088.0,,6004.0,2014
Kepler-197c,,0.11,10.349695,0.09,,transit,1088.0,,6004.0,2014
Kepler-197d,,0.109,15.677563,0.119,,transit,1088.0,,6004.0,2014
Kepler-197e,,0.081,25.209715,0.164,,transit,1088.0,,6004.0,2014
Kepler-198b,,0.252,17.790037,0.131,,transit,1638.0,0.93,5574.0,2014
Kepler-198c,,0.22,49.567416,0.259,,transit,1638.0,0.93,5574.0,2014
Kepler-199b,,0.277,23.637604,0.158,,transit,1725.0,,5644.0,2014
Kepler-199c,,0.29,67.093408,0.316,,transit,1725.0,,5644.0,2014
Kepler-200b,,0.19,8.594805,0.08,,transit,2210.0,,5678.0,2014
Kepler-200c,,0.142,10.222157,0.09,,transit,2210.0,,5678.0,2014
Kepler-201b,,0.219,25.672083,0.175,,transit,2240.0,1.17,6065.0,2014
Kepler-201c,,0.254,151.884058,0.573,,transit,2240.0,1.17,6065.0,2014
Kepler-202b,,0.145,4.069427,0.045,,transit,937.0,,4668.0,2014
Kepler-202c,,0.165,16.282493,0.113,,transit,937.0,,4668.0,2014
Kepler-203b,,0.229,3.162697,0.043,,transit,2340.0,0.98,5821.0,2014
Kepler-203c,,0.22,5.370647,0.061,,transit,2340.0,0.98,5821.0,2014
Kepler-203d,,0.128,11.32972,0.1,,transit,2340.0,0.98,5821.0,2014
Kepler-204b,,0.226,14.400974,0.117,,transit,2280.0,0.96,5812.0,2014
